,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 7, 7","R: 8, 7","R: 9, 7","R: 10, 7","R: 11, 7","R: 12, 7","R: 13, 7","R: 7, 8","R: 8, 8","R: 9, 8","R: 10, 8","R: 11, 8","R: 12, 8","R: 7, 9","R: 8, 9","R: 9, 9","R: 10, 9","R: 11, 9","R: 7, 10","R: 8, 10","R: 9, 10","R: 10, 10","R: 7, 11","R: 8, 11","R: 9, 11","R: 7, 12","R: 8, 12","R: 7, 13","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 10, 7","MAE: 11, 7","MAE: 12, 7","MAE: 13, 7","MAE: 7, 8","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 11, 8","MAE: 12, 8","MAE: 7, 9","MAE: 8, 9","MAE: 9, 9","MAE: 10, 9","MAE: 11, 9","MAE: 7, 10","MAE: 8, 10","MAE: 9, 10","MAE: 10, 10","MAE: 7, 11","MAE: 8, 11","MAE: 9, 11","MAE: 7, 12","MAE: 8, 12","MAE: 7, 13"
94,95,0.07443825528025627,0.010025793104432523,95,0.07561113245646284,0.01014421648092042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,96,0.07285694777965546,0.009374546119943261,96,0.07478487705342063,0.009913315372627273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,97,0.07681123726069927,0.010689564165659249,97,0.07539278511560422,0.010146190010536866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,98,0.07374713476747274,0.009963744319975376,98,0.07489909001116478,0.01009145630336842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99,0.070852424018085,0.009077515918761492,99,0.07368509021324085,0.00978727418798634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,100,0.07376456912606955,0.009798340266570449,100,0.07370893388708946,0.009790594011561573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101,0.07354876399040222,0.009418531903065741,101,0.07366088291808329,0.009678975379012822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102,0.07165041845291853,0.009021849487908185,102,0.07305774357853387,0.009481837611681431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103,0.07210952788591385,0.009325244347564876,103,0.07277327887074786,0.009434859632446464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,0.06880827434360981,0.008538274792954326,104,0.07158377751260644,0.009165884180598823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105,0.06846045423299074,0.008372359210625291,105,0.07064678052872174,0.008927826689606764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106,0.07128346152603626,0.008819265174679458,106,0.0708377848279161,0.008895258235128572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107,0.06798496097326279,0.008274232037365437,107,0.06998193767152011,0.008708950375799631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,0.06772271450608969,0.008248305297456682,108,0.06930417072189099,0.008570756852296746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,0.06869384460151196,0.008330043754540384,109,0.06912107288577728,0.008498542922969837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
