Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
303,-0.003234386,303,-0.021047115,303,-0.02995348
304,-0.003140688,304,-0.021422267,304,-0.029578686
305,-0.003046989,305,-0.022265911,305,-0.029203534
306,-0.002953291,306,-0.022641063,306,-0.029016137
307,-0.002859592,307,-0.023109913,307,-0.02882874
308,-0.002765536,308,-0.023859859,308,-0.028734684
309,-0.002671838,309,-0.024140954,309,-0.028734684
310,-0.002578139,310,-0.024422407,310,-0.028640985
311,-0.002484441,311,-0.025078654,311,-0.028640985
312,-0.002390742,312,-0.025547147,312,-0.028640985
313,-0.002390742,313,-0.025734901,313,-0.028640985
314,-0.002297044,314,-0.026109695,314,-0.028640985
315,-0.002297044,315,-0.026765943,315,-0.028640985
316,-0.002203345,316,-0.027047396,316,-0.028547287
317,-0.002203345,317,-0.027234793,317,-0.028547287
318,-0.002203345,318,-0.027516246,318,-0.028453588
319,-0.002109289,319,-0.027984738,319,-0.02835989
320,-0.002109289,320,-0.028453588,320,-0.02835989
321,-0.002109289,321,-0.028640985,321,-0.02835989
322,-0.002109289,322,-0.028734684,322,-0.028266191
323,-0.002109289,323,-0.029016137,323,-0.028172493
324,-0.002109289,324,-0.029484987,324,-0.028172493
325,-0.002109289,325,-0.029859781,325,-0.028078437
326,-0.002109289,326,-0.030141234,326,-0.027984738
327,-0.002109289,327,-0.030234933,327,-0.027984738
328,-0.002109289,328,-0.03042233,328,-0.02789104
329,-0.002109289,329,-0.03089118,329,-0.02789104
330,-0.002109289,330,-0.031265974,330,-0.027797341
331,-0.002109289,331,-0.031547427,331,-0.027797341
332,-0.002109289,332,-0.031641126,332,-0.027703643
333,-0.002109289,333,-0.031828523,333,-0.027703643
334,-0.002109289,334,-0.032109976,334,-0.027609944
335,-0.002109289,335,-0.03248477,335,-0.027609944
336,-0.002109289,336,-0.032859921,336,-0.027516246
337,-0.002109289,337,-0.033047318,337,-0.027516246
338,-0.002203345,338,-0.033235073,338,-0.027516246
339,-0.002203345,339,-0.033328772,339,-0.02742219
